Suburb,Area,Frequency,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
Naenae,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Napier Area,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
New Plymouth,Palmerston,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Newlands,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Newmarket,Auckland,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Newstead,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Newtown,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Ngaruawahia,Auckland,4 Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Northland,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Northshore,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Oakura,Palmerston,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Ohakea,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Onslow,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Opunake,Palmerston,8 Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Orewa,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Otahuhu,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Otaki,Wellington,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Otara,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Pahiatua,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Palmerston North,Palmerston,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Palmerston North Hospital,Palmerston,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Panmure,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Papakura,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Papatoetoe,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Paraparaumu,Wellington,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Paremata,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Patea,Palmerston,Fortnightly,FALSE,FALSE,TRUE,FALSE,FALSE
Petone,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Pokeno,Auckland,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Pomare,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Porirua,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Pukekohe,Auckland,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Putaruru,Waikato/Hamilton,Fortnightly ,FALSE,TRUE,FALSE,FALSE,FALSE
Queenwood,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Remuera,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Rotorua,Waikato/Hamilton,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Rototuna,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Ruakura,Waikato/Hamilton,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Sandringham,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Seatoun,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Shannon,Palmerston,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Silverdale,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Snells Beach,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Stanmore Bay,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Stokes Valley,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Stratford,Palmerston,Fortnightly,FALSE,FALSE,TRUE,FALSE,FALSE
Taita,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Takanini,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Taupo,Waikato/Hamilton,4-Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Tawa,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Te Awamutu,Waikato/Hamilton,Fortnightly,FALSE,FALSE,FALSE,TRUE,FALSE
Te Kauwhata,Waikato/Hamilton,4-weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Te Kuiti,Waikato/Hamilton,4-Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Te Puke,Waikato/Hamilton,4-Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Te Rapa,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
The Terrace,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Titahi Bay,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Trentham,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Tuakau,Auckland,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Upper Hutt,Wellington,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Victoria University,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Wadestown,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Waikanae,Wellington,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Waipawa,Palmerston,4 Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Waipawa,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
